"Song_title","Genre","Subgenre"
"Harry Styles - As It Was","Pop","Bedroom pop"
"Jack Harlow - First Class","Rap","Hip hop"
"Glass Animals - Heat Waves","R&B",NA
"The Kid LAROI - Stay","Pop","Pop rap"
"Imagine Dragons - Enemy","Rock","Pop rock"
"Elton John - Cold Heart - PNAU Remix","Disco","Disco pop"
"Anitta - Envolver","Reggaeton",NA
"Camila Cabello - Bam Bam","Pop","Latin pop"
"Lil Nas X - INDUSTRY BABY","Pop","Pop rap"
"Cris Mj - Una Noche en Medellín","Latin urban",NA
"GAYLE - abcdefu","Rock","Pop rock"
"Justin Bieber - Ghost","Rock","Pop rock"
"Elley Duhé - MIDDLE OF THE NIGHT","Pop",NA
"Rauw Alejandro - Desesperados","Latin Urban",NA
"Becky G - MAMIII","Reggaeton",NA
"Doja Cat - Woman","Pop","Afrobeat"
"Ed Sheeran - Shivers","Pop","Dance-pop"
"Daddy Yankee - X ÚLTIMA VEZ","Reggaeton",NA
"Adele - Easy On Me","Pop",NA
"Olivia Rodrigo - good 4 u","Rock","Pop rock"
