"","Country","Harry Styles - As It Was","Jack Harlow - First Class","Glass Animals - Heat Waves","The Kid LAROI - Stay","Imagine Dragons - Enemy","Elton John - Cold Heart - PNAU Remix","Anitta - Envolver","Camila Cabello - Bam Bam","Lil Nas X - INDUSTRY BABY","Cris Mj - Una Noche en Medellín","GAYLE - abcdefu","Justin Bieber - Ghost","Elley Duhé - MIDDLE OF THE NIGHT","Rauw Alejandro - Desesperados","Becky G - MAMIII","Doja Cat - Woman","Ed Sheeran - Shivers","Daddy Yankee - X ÚLTIMA VEZ","Adele - Easy On Me","Olivia Rodrigo - good 4 u","area"
"1","Denmark",75811,65475,31697,30539,19952,27377,0,34774,20580,0,16227,20654,12584,0,0,12484,28144,0,19382,11010,"N"
"2","Norway",119544,61643,47074,32410,31894,36204,0,33601,16682,0,28061,13883,32985,0,0,11408,27321,0,19156,16035,"N"
"3","Sweden",133723,82952,63048,49831,37551,54276,0,44066,27185,0,40556,21677,25342,0,0,18424,61945,0,39999,26484,"N"
"4","Germany",387006,444244,249145,146557,166873,165516,48530,150544,126780,0,166456,62765,152803,0,0,81213,147900,0,64381,84239,"W"
"5","Netherlands",225562,108545,90688,48148,73348,82000,0,142016,31727,0,49371,33133,46691,0,0,32379,50585,0,43031,29146,"W"
"6","Belgium",71984,26758,40221,27247,27258,29847,9251,32357,19421,0,35177,12312,20724,0,0,17085,25798,0,18730,17647,"W"
"7","France",221138,53459,119433,76974,120342,80970,60697,93319,71201,0,127732,0,68094,0,0,63655,101428,0,48099,0,"W"
"8","Spain",222709,0,81357,73987,80112,76941,137669,152565,50888,320970,60719,0,0,264747,248383,38497,56875,195014,46896,46570,"S"
"9","Italy",208365,47177,123791,68746,79715,64701,71589,96665,62597,92901,84437,0,68842,0,0,38634,45281,0,35361,34525,"S"
"10","Greece",26026,11731,11324,6398,9117,6416,4746,5160,8759,0,5445,0,12823,0,0,6756,5511,0,4805,4849,"S"
"11","UK",545089,431758,236276,134280,95029,151694,0,179651,108276,0,102592,112413,92552,0,0,103887,171088,0,105895,125274,"W"
"12","Portugal",40324,19355,19398,14827,16289,15266,29102,19537,15294,0,12551,9798,13669,6567,7635,13232,12094,0,10004,8866,"S"
"13","Poland",112876,20547,63920,28116,49429,32698,0,26080,23680,0,30464,0,40264,0,0,23542,25002,0,0,0,"E"
"14","Rusia",0,0,19306,21046,27762,0,0,0,15616,0,14861,0,26540,0,0,0,0,0,0,0,"E"
"15","Hungary",23405,10107,18121,10425,13529,9732,3446,7374,9044,0,10625,4022,12241,0,0,7383,7774,0,4432,7336,"E"
"16","Austria",39376,25885,22034,12587,15601,14460,0,13910,11756,0,15860,5825,12201,0,0,6936,13657,0,6268,9527,"E"
"17","Ireland",74396,54957,24686,16976,12398,21688,0,23932,15163,0,14971,16894,11177,0,0,12893,22367,0,13622,15726,"W"
"18","Romania",16199,7357,9858,5480,7597,5027,3074,3245,6289,0,4343,0,9188,0,0,5960,4832,0,2800,3581,"E"
